,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0,64,11,50,95,40,13,78,79,98,35,91,58,50,13,55,46,9,1,44,62,86,49,17,97,88,53,12,92,48,15,41,22,45,62,77,80,47,68,2,20,20,86,13,59,101,45,97,39,24
1,64,0,58,10,20,42,84,44,62,34,93,77,16,12,26,64,34,60,72,7,40,56,3,43,86,30,56,35,35,38,79,13,29,83,92,77,8,46,33,97,50,66,69,78,82,62,29,69,32,69
2,11,58,0,93,91,81,1,41,82,77,50,11,56,79,30,41,62,35,16,71,77,100,71,54,61,12,8,88,55,100,7,35,80,96,48,78,52,17,51,73,99,54,33,47,56,15,99,29,70,36
3,50,10,93,0,67,79,88,83,46,94,63,23,57,88,44,1,33,25,43,99,37,95,42,31,45,77,58,101,18,89,83,64,19,80,14,21,57,15,37,8,75,101,94,49,95,73,37,24,64,30
4,95,20,91,67,0,98,13,90,23,2,4,41,4,14,87,84,32,9,63,99,68,99,42,21,82,74,7,3,55,90,19,15,64,82,47,38,58,9,72,2,61,42,68,21,35,47,13,36,3,67
5,40,42,81,79,98,0,40,82,49,90,36,68,1,24,15,9,47,10,72,93,95,28,74,7,27,30,35,58,24,24,98,18,68,97,62,28,72,24,78,71,63,50,45,83,38,20,86,6,36,2
6,13,84,1,88,13,40,0,99,82,88,77,9,78,84,2,28,26,41,84,33,30,38,29,6,24,7,45,98,16,18,93,11,56,39,37,75,20,3,69,1,51,82,17,33,63,47,57,32,79,2
7,78,44,41,83,90,82,99,0,96,18,47,76,40,33,64,24,83,91,14,58,88,53,17,2,58,60,58,18,3,38,22,97,17,36,36,16,16,19,44,49,77,63,9,14,69,32,38,41,101,62
8,79,62,82,46,23,49,82,96,0,32,49,53,100,4,64,66,77,27,41,64,63,76,77,10,15,81,20,77,29,24,57,81,10,66,75,1,32,4,33,58,71,36,40,56,75,77,67,82,67,85
9,98,34,77,94,2,90,88,18,32,0,94,84,41,11,26,57,46,60,101,82,75,93,32,7,86,67,12,68,42,44,96,38,85,9,74,45,53,6,38,25,77,42,35,14,83,42,22,53,46,84
10,35,93,50,63,4,36,77,47,49,94,0,6,45,84,54,13,85,66,23,46,49,30,56,46,91,56,43,18,34,22,38,95,4,30,70,7,87,46,65,50,60,4,31,80,19,72,92,99,4,27
11,91,77,11,23,41,68,9,76,53,84,6,0,20,79,77,64,2,17,63,16,72,38,98,28,94,1,5,23,9,18,64,22,11,98,96,68,11,68,57,94,1,8,99,37,87,24,24,76,92,63
12,58,16,56,57,4,1,78,40,100,41,45,20,0,4,5,79,82,58,23,94,35,43,57,65,41,71,51,11,39,88,45,36,45,83,24,89,49,47,69,14,9,60,59,100,39,59,77,26,69,84
13,50,12,79,88,14,24,84,33,4,11,84,79,4,0,59,5,37,34,43,8,12,67,53,81,89,71,41,38,7,8,100,54,40,70,12,44,48,56,95,46,54,9,53,19,98,9,90,96,94,64
14,13,26,30,44,87,15,2,64,64,26,54,77,5,59,0,28,21,21,4,100,57,51,15,90,76,55,96,87,49,7,35,40,91,100,59,11,44,32,42,83,16,68,56,96,18,27,7,73,9,99
15,55,64,41,1,84,9,28,24,66,57,13,64,79,5,28,0,35,27,57,47,18,20,40,91,91,63,9,40,16,74,84,37,25,42,32,81,20,5,42,38,88,46,46,3,27,79,60,86,68,80
16,46,34,62,33,32,47,26,83,77,46,85,2,82,37,21,35,0,31,95,54,48,64,42,1,5,10,35,50,20,80,79,72,14,75,65,27,69,83,33,42,74,29,88,14,11,22,63,10,28,31
17,9,60,35,25,9,10,41,91,27,60,66,17,58,34,21,27,31,0,77,24,50,82,88,59,83,4,9,64,45,93,94,16,9,69,96,63,55,15,3,80,76,50,68,80,92,16,15,71,18,16
18,1,72,16,43,63,72,84,14,41,101,23,63,23,43,4,57,95,77,0,34,101,65,46,88,32,54,19,9,64,55,97,28,44,48,3,77,49,54,94,80,19,74,96,12,28,43,29,40,8,96
19,44,7,71,99,99,93,33,58,64,82,46,16,94,8,100,47,54,24,34,0,89,95,18,74,79,96,2,74,87,51,92,8,3,53,26,2,42,48,26,92,5,25,8,37,87,9,37,58,11,44
20,62,40,77,37,68,95,30,88,63,75,49,72,35,12,57,18,48,50,101,89,0,60,85,80,64,56,68,91,98,2,61,57,29,28,76,11,72,60,63,75,81,46,87,55,3,19,10,72,41,76
21,86,56,100,95,99,28,38,53,76,93,30,38,43,67,51,20,64,82,65,95,60,0,80,20,48,96,25,71,4,91,81,57,87,84,49,46,18,66,15,45,59,47,48,10,85,56,82,8,10,77
22,49,3,71,42,42,74,29,17,77,32,56,98,57,53,15,40,42,88,46,18,85,80,0,93,3,93,40,35,5,58,12,97,83,12,31,71,45,61,60,92,98,93,97,100,62,28,86,98,82,6
23,17,43,54,31,21,7,6,2,10,7,46,28,65,81,90,91,1,59,88,74,80,20,93,0,14,69,88,74,83,19,40,97,29,61,71,87,58,19,39,42,53,59,77,55,75,77,53,74,3,10
24,97,86,61,45,82,27,24,58,15,86,91,94,41,89,76,91,5,83,32,79,64,48,3,14,0,7,59,49,91,52,70,7,25,85,50,28,91,14,99,17,94,47,32,11,44,54,72,66,101,9
25,88,30,12,77,74,30,7,60,81,67,56,1,71,71,55,63,10,4,54,96,56,96,93,69,7,0,25,58,88,21,49,84,3,46,71,94,81,17,83,85,49,1,99,52,22,27,43,82,96,30
26,53,56,8,58,7,35,45,58,20,12,43,5,51,41,96,9,35,9,19,2,68,25,40,88,59,25,0,76,7,51,92,29,72,34,91,81,27,20,32,9,11,94,42,57,28,83,6,43,25,39
27,12,35,88,101,3,58,98,18,77,68,18,23,11,38,87,40,50,64,9,74,91,71,35,74,49,58,76,0,97,51,95,34,32,57,61,67,43,91,39,12,41,40,25,97,19,75,43,12,101,22
28,92,35,55,18,55,24,16,3,29,42,34,9,39,7,49,16,20,45,64,87,98,4,5,83,91,88,7,97,0,7,65,34,66,86,91,93,50,14,80,37,23,26,46,56,47,64,91,64,19,91
29,48,38,100,89,90,24,18,38,24,44,22,18,88,8,7,74,80,93,55,51,2,91,58,19,52,21,51,51,7,0,50,86,92,52,76,53,2,25,30,56,69,90,71,97,27,39,63,98,46,85
